Ten_xe,Nam_san_xuat,So_km,Xuat_xu,Kieu_dang,Hop_so,Dong_co,Mau_ngoai_that,Mau_noi_that,So_cho_ngoi,Dan_dong,Gia_ban_text,Gia_ban,Link
Hyundai SantaFe Prestige HTRAC,2024,"12,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng 2.5 L,Đỏ,Đen,7 chỗ,AWD - 4 bánh toàn thời gian,1 Tỷ 129 Triệu,1129000000,https://bonbanh.com/xe-hyundai-santafe-prestige-2.5l-htrac-2024-6375013
MG G50 Lux 7S,2025,"1,000 Km",Nhập khẩu,Van/Minivan,Số tự động,Xăng 1.5 L,Đen,Đen,7 chỗ,FWD - Dẫn động cầu trước,770 Triệu,770000000,https://bonbanh.com/xe-mg-g50-1.5-at-lux-7s-2025-6473280
Honda HRV G,2023,"30,000 Km",Nhập khẩu,Crossover,Số tự động,Xăng 1.5 L,Đỏ,Đen,5 chỗ,FWD - Dẫn động cầu trước,635 Triệu,635000000,https://bonbanh.com/xe-honda-hrv-g-2023-6485940
Hyundai i10 Grand,2019,"87,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.25 L,Đồng,Nhiều màu,5 chỗ,FWD - Dẫn động cầu trước,289 Triệu,289000000,https://bonbanh.com/xe-hyundai-i10-grand-1.2-at-2019-6331202
Kia Carnival Signature .2D,2023,"45,000 Km",Lắp ráp trong nước,Van/Minivan,Số tự động,Dầu 2.2 L,Xanh,Nâu,7 chỗ,FWD - Dẫn động cầu trước,1 Tỷ 270 Triệu,1270000000,https://bonbanh.com/xe-kia-carnival-signature-2.2d-2023-6271396
Hyundai Elantra Đặc biệt,2022,"35,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.6 L,Trắng,Đen,5 chỗ,FWD - Dẫn động cầu trước,535 Triệu,535000000,https://bonbanh.com/xe-hyundai-elantra-1.6-at-dac-biet-2022-6406049
Mitsubishi Pajero Sport .4D,2021,"30,000 Km",Nhập khẩu,SUV,Số tự động,Dầu 2.4 L,Trắng,Đen,7 chỗ,4WD - Dẫn động 4 bánh,900 Triệu,900000000,https://bonbanh.com/xe-mitsubishi-pajero-sport-2.4d-4x4-at-2021-6434081
Ford Everest Titanium Plus,2024,"25,000 Km",Nhập khẩu,SUV,Số tự động,Dầu 2.0 L,Nâu,Đen,7 chỗ,4WD - Dẫn động 4 bánh,1 Tỷ 379 Triệu,1379000000,https://bonbanh.com/xe-ford-everest-titanium-plus-2.0l-4x4-at-2024-6351886
Lexus LM 500h,2024,"11,000 Km",Nhập khẩu,Van/Minivan,Số tự động,Hybrid 2.4 L,Đen,-,6 chỗ,AWD - 4 bánh toàn thời gian,8 Tỷ 390 Triệu,8390000000,https://bonbanh.com/xe-lexus-lm-500h-2024-6340994
Mercedes Benz S class S450L,2020,"50,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 3.0 L,Trắng,Nâu,5 chỗ,RFD - Dẫn động cầu sau,2 Tỷ 250 Triệu,2250000000,https://bonbanh.com/xe-mercedes_benz-s_class-s450l-2020-6333826
LandRover Range Rover Velar R Dynamic SE,2019,"86,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 2.0 L,Xám,Đen,5 chỗ,AWD - 4 bánh toàn thời gian,2 Tỷ 299 Triệu,2299000000,https://bonbanh.com/xe-landrover-range_rover_velar-r-dynamic-se-2.0-2019-6473301
Toyota Corolla Cross .8V,2022,"45,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 1.8 L,Trắng,Đỏ,5 chỗ,FWD - Dẫn động cầu trước,725 Triệu,725000000,https://bonbanh.com/xe-toyota-corolla_cross-1.8v-2022-6471771
VinFast VF8 Eco,2022,"69,000 Km",Lắp ráp trong nước,SUV,Số tự động,Điện,Trắng,Đen,5 chỗ,AWD - 4 bánh toàn thời gian,670 Triệu,670000000,https://bonbanh.com/xe-vinfast-vf8-eco-awd-2022-6450280
Lynk & Co Hyper Pro,2024,"21,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 2.0 L,Xanh,Nhiều màu,5 chỗ,FWD - Dẫn động cầu trước,859 Triệu,859000000,https://bonbanh.com/xe-lynk_co-01-hyper-pro-2024-6398705
Toyota Corolla Cross .8V,2022,"40,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 1.8 L,Bạc,Đen,5 chỗ,FWD - Dẫn động cầu trước,705 Triệu,705000000,https://bonbanh.com/xe-toyota-corolla_cross-1.8v-2022-6328968
Lexus ES,2016,"50,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng 2.5 L,Trắng,Nâu,5 chỗ,FWD - Dẫn động cầu trước,1 Tỷ 199 Triệu,1199000000,https://bonbanh.com/xe-lexus-es-250-2016-5216413
Mercedes Benz GLC 4Matic,2017,"100,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng 2.0 L,Đỏ,Nâu,5 chỗ,AWD - 4 bánh toàn thời gian,855 Triệu,855000000,https://bonbanh.com/xe-mercedes_benz-glc-250-4matic-2017-6358182
Hyundai SantaFe Prestige HTRAC,2024,"12,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng 2.5 L,Đỏ,Đen,7 chỗ,AWD - 4 bánh toàn thời gian,1 Tỷ 129 Triệu,1129000000,https://bonbanh.com/xe-hyundai-santafe-prestige-2.5l-htrac-2024-6375013
MG G50 Lux 7S,2025,"1,000 Km",Nhập khẩu,Van/Minivan,Số tự động,Xăng 1.5 L,Đen,Đen,7 chỗ,FWD - Dẫn động cầu trước,770 Triệu,770000000,https://bonbanh.com/xe-mg-g50-1.5-at-lux-7s-2025-6473280
Honda HRV G,2023,"30,000 Km",Nhập khẩu,Crossover,Số tự động,Xăng 1.5 L,Đỏ,Đen,5 chỗ,FWD - Dẫn động cầu trước,635 Triệu,635000000,https://bonbanh.com/xe-honda-hrv-g-2023-6485940
Kia Carnival Premium .2D,2022,"100,000 Km",Lắp ráp trong nước,Van/Minivan,Số tự động,Dầu 2.2 L,Đỏ,Nâu,7 chỗ,FWD - Dẫn động cầu trước,1 Tỷ 28 Triệu,1028000000,https://bonbanh.com/xe-kia-carnival-premium-2.2d-2022-6472679
Ford Explorer Limited EcoBoost,2019,"68,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 2.3 L,Đen,Đen,7 chỗ,AWD - 4 bánh toàn thời gian,1 Tỷ 70 Triệu,1070000000,https://bonbanh.com/xe-ford-explorer-limited-2.3l-ecoboost-2019-6269501
Mazda CX5,2014,"92,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng 2.0 L,Xám,Đen,5 chỗ,FWD - Dẫn động cầu trước,415 Triệu,415000000,https://bonbanh.com/xe-mazda-cx5-2.0-at-2014-6351133
Hyundai SantaFe Prestige HTRAC,2024,"12,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng 2.5 L,Đỏ,Đen,7 chỗ,AWD - 4 bánh toàn thời gian,1 Tỷ 129 Triệu,1129000000,https://bonbanh.com/xe-hyundai-santafe-prestige-2.5l-htrac-2024-6375013
MG G50 Lux 7S,2025,"1,000 Km",Nhập khẩu,Van/Minivan,Số tự động,Xăng 1.5 L,Đen,Đen,7 chỗ,FWD - Dẫn động cầu trước,770 Triệu,770000000,https://bonbanh.com/xe-mg-g50-1.5-at-lux-7s-2025-6473280
Honda HRV G,2023,"30,000 Km",Nhập khẩu,Crossover,Số tự động,Xăng 1.5 L,Đỏ,Đen,5 chỗ,FWD - Dẫn động cầu trước,635 Triệu,635000000,https://bonbanh.com/xe-honda-hrv-g-2023-6485940
Kia Carnival Premium .2D,2022,"100,000 Km",Lắp ráp trong nước,Van/Minivan,Số tự động,Dầu 2.2 L,Đỏ,Nâu,7 chỗ,FWD - Dẫn động cầu trước,1 Tỷ 28 Triệu,1028000000,https://bonbanh.com/xe-kia-carnival-premium-2.2d-2022-6472679
Ford Explorer Limited EcoBoost,2019,"68,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 2.3 L,Đen,Đen,7 chỗ,AWD - 4 bánh toàn thời gian,1 Tỷ 70 Triệu,1070000000,https://bonbanh.com/xe-ford-explorer-limited-2.3l-ecoboost-2019-6269501
Mazda CX5,2014,"92,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng 2.0 L,Xám,Đen,5 chỗ,FWD - Dẫn động cầu trước,415 Triệu,415000000,https://bonbanh.com/xe-mazda-cx5-2.0-at-2014-6351133
Toyota Corolla Cross .8V,2023,"30,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 1.8 L,Trắng,Nâu,5 chỗ,FWD - Dẫn động cầu trước,745 Triệu,745000000,https://bonbanh.com/xe-toyota-corolla_cross-1.8v-2023-6485946
Hyundai Tucson Turbo HTRAC Đặc biệt,2025,0 Km,Lắp ráp trong nước,Crossover,Số tự động,Xăng 1.6 L,Trắng,Đen,5 chỗ,AWD - 4 bánh toàn thời gian,986 Triệu,986000000,https://bonbanh.com/xe-hyundai-tucson-1.6-at-turbo-htrac-dac-biet-2025-6454510
Mercedes Benz GLC,2020,"90,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng 2.0 L,Trắng,Đen,5 chỗ,RFD - Dẫn động cầu sau,1 Tỷ 99 Triệu,1099000000,https://bonbanh.com/xe-mercedes_benz-glc-200-2020-6484683
MG RX5 LUX,2023,"30,000 Km",Nhập khẩu,Crossover,Số tự động,Xăng 1.5 L,Đen,Đen,5 chỗ,FWD - Dẫn động cầu trước,580 Triệu,580000000,https://bonbanh.com/xe-mg-rx5-1.5t-lux-2023-6479046
Mazda Sport Luxury,2023,"25,000 Km",Lắp ráp trong nước,Hatchback,Số tự động,Xăng 1.5 L,Trắng,Đen,5 chỗ,FWD - Dẫn động cầu trước,568 Triệu,568000000,https://bonbanh.com/xe-mazda-3-1.5l-sport-luxury-2023-6461436
Lexus RX,2009,"70,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 3.5 L,Đỏ,Vàng,5 chỗ,FWD - Dẫn động cầu trước,719 Triệu,719000000,https://bonbanh.com/xe-lexus-rx-350-2009-6432300
Mercedes Benz C class C200 Exclusive,2021,"36,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.5 L,Đỏ,Đen,5 chỗ,RFD - Dẫn động cầu sau,995 Triệu,995000000,https://bonbanh.com/xe-mercedes_benz-c_class-c200-exclusive-2021-6457517
Lexus RX,2021,"70,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 2.0 L,Đen,Nâu,5 chỗ,AWD - 4 bánh toàn thời gian,2 Tỷ 889 Triệu,2889000000,https://bonbanh.com/xe-lexus-rx-300-2021-6413207
Mercedes Benz C class C200,2019,"80,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.5 L,Đỏ,Cam,5 chỗ,RFD - Dẫn động cầu sau,777 Triệu,777000000,https://bonbanh.com/xe-mercedes_benz-c_class-c200-2019-6335098
Toyota Fortuner .7V,2017,"100,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 2.7 L,Đen,Nâu,7 chỗ,RFD - Dẫn động cầu sau,668 Triệu,668000000,https://bonbanh.com/xe-toyota-fortuner-2.7v-4x2-at-2017-6457227
Volvo XC60 Inscription B6,2022,"34,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 2.0 L,Đen,Nâu,5 chỗ,AWD - 4 bánh toàn thời gian,1 Tỷ 799 Triệu,1799000000,https://bonbanh.com/xe-volvo-xc60-inscription-b6-awd-2022-6449308
Kia Morning Si,2016,"86,000 Km",Lắp ráp trong nước,Hatchback,Số tự động,Xăng 1.25 L,Trắng,Xám,5 chỗ,FWD - Dẫn động cầu trước,245 Triệu,245000000,https://bonbanh.com/xe-kia-morning-si-at-2016-6335461
Peugeot GT,2022,"37,000 Km",Lắp ráp trong nước,Crossover,Số tự động,Xăng 1.6 L,Trắng,Nâu,5 chỗ,FWD - Dẫn động cầu trước,825 Triệu,825000000,https://bonbanh.com/xe-peugeot-3008-gt-2022-6452441
LandRover Range Rover Sport Dynamic SE P400,2022,"100,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 3.0 L,Đen,Nâu,7 chỗ,AWD - 4 bánh toàn thời gian,5 Tỷ 979 Triệu,5979000000,https://bonbanh.com/xe-landrover-range_rover_sport-dynamic-se-p400-3.0-at-2022-6386218
Hyundai Tucson Turbo HTRAC Đặc biệt,2025,0 Km,Lắp ráp trong nước,Crossover,Số tự động,Xăng 1.6 L,Trắng,Đen,5 chỗ,AWD - 4 bánh toàn thời gian,986 Triệu,986000000,https://bonbanh.com/xe-hyundai-tucson-1.6-at-turbo-htrac-dac-biet-2025-6454510
Mercedes Benz GLC,2020,"90,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng 2.0 L,Trắng,Đen,5 chỗ,RFD - Dẫn động cầu sau,1 Tỷ 99 Triệu,1099000000,https://bonbanh.com/xe-mercedes_benz-glc-200-2020-6484683
MG RX5 LUX,2023,"30,000 Km",Nhập khẩu,Crossover,Số tự động,Xăng 1.5 L,Đen,Đen,5 chỗ,FWD - Dẫn động cầu trước,580 Triệu,580000000,https://bonbanh.com/xe-mg-rx5-1.5t-lux-2023-6479046
Mazda Sport Luxury,2023,"25,000 Km",Lắp ráp trong nước,Hatchback,Số tự động,Xăng 1.5 L,Trắng,Đen,5 chỗ,FWD - Dẫn động cầu trước,568 Triệu,568000000,https://bonbanh.com/xe-mazda-3-1.5l-sport-luxury-2023-6461436
Lexus RX,2009,"70,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 3.5 L,Đỏ,Vàng,5 chỗ,FWD - Dẫn động cầu trước,719 Triệu,719000000,https://bonbanh.com/xe-lexus-rx-350-2009-6432300
Mercedes Benz C class C200 Exclusive,2021,"36,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.5 L,Đỏ,Đen,5 chỗ,RFD - Dẫn động cầu sau,995 Triệu,995000000,https://bonbanh.com/xe-mercedes_benz-c_class-c200-exclusive-2021-6457517
Lexus RX,2021,"70,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 2.0 L,Đen,Nâu,5 chỗ,AWD - 4 bánh toàn thời gian,2 Tỷ 889 Triệu,2889000000,https://bonbanh.com/xe-lexus-rx-300-2021-6413207
Mercedes Benz C class C200,2019,"80,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.5 L,Đỏ,Cam,5 chỗ,RFD - Dẫn động cầu sau,777 Triệu,777000000,https://bonbanh.com/xe-mercedes_benz-c_class-c200-2019-6335098
Toyota Fortuner .7V,2017,"100,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 2.7 L,Đen,Nâu,7 chỗ,RFD - Dẫn động cầu sau,668 Triệu,668000000,https://bonbanh.com/xe-toyota-fortuner-2.7v-4x2-at-2017-6457227
Volvo XC60 Inscription B6,2022,"34,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 2.0 L,Đen,Nâu,5 chỗ,AWD - 4 bánh toàn thời gian,1 Tỷ 799 Triệu,1799000000,https://bonbanh.com/xe-volvo-xc60-inscription-b6-awd-2022-6449308
Kia Morning Si,2016,"86,000 Km",Lắp ráp trong nước,Hatchback,Số tự động,Xăng 1.25 L,Trắng,Xám,5 chỗ,FWD - Dẫn động cầu trước,245 Triệu,245000000,https://bonbanh.com/xe-kia-morning-si-at-2016-6335461
Peugeot GT,2022,"37,000 Km",Lắp ráp trong nước,Crossover,Số tự động,Xăng 1.6 L,Trắng,Nâu,5 chỗ,FWD - Dẫn động cầu trước,825 Triệu,825000000,https://bonbanh.com/xe-peugeot-3008-gt-2022-6452441
LandRover Range Rover Sport Dynamic SE P400,2022,"100,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 3.0 L,Đen,Nâu,7 chỗ,AWD - 4 bánh toàn thời gian,5 Tỷ 979 Triệu,5979000000,https://bonbanh.com/xe-landrover-range_rover_sport-dynamic-se-p400-3.0-at-2022-6386218
Mazda CX5,2018,"70,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng 2.5 L,Xanh,Đen,5 chỗ,FWD - Dẫn động cầu trước,595 Triệu,595000000,https://bonbanh.com/xe-mazda-cx5-2.5-at-2wd-2018-6350383
Toyota Hilux,2021,"90,000 Km",Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu 2.8 L,Đen,Đen,5 chỗ,4WD - Dẫn động 4 bánh,870 Triệu,870000000,https://bonbanh.com/xe-toyota-hilux-2.8l-4x4-at-2021-6481184
LandRover Range Rover Evoque Dynamic,2012,0 Km,Nhập khẩu,SUV,Số tự động,Xăng 2.0 L,Trắng,Nâu,5 chỗ,AWD - 4 bánh toàn thời gian,425 Triệu,425000000,https://bonbanh.com/xe-landrover-range_rover_evoque-dynamic-2012-6416270
BMW Series 320i,2016,"110,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng 2.0 L,Trắng,Kem,5 chỗ,RFD - Dẫn động cầu sau,560 Triệu,560000000,https://bonbanh.com/xe-bmw-3_series-320i-2016-6388239
Lexus RX,2017,"110,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 3.5 L,Đen,Nâu,5 chỗ,AWD - 4 bánh toàn thời gian,2 Tỷ 350 Triệu,2350000000,https://bonbanh.com/xe-lexus-rx-350-2017-6328471
Mini Cooper JCW Convertible,2020,"29,000 Km",Nhập khẩu,Convertible/Cabriolet,Số tự động,Xăng 2.0 L,Trắng,Đen,5 chỗ,FWD - Dẫn động cầu trước,1 Tỷ 580 Triệu,1580000000,https://bonbanh.com/xe-mini-cooper-jcw-convertible-2020-6416847
Lexus RX F Sport,2019,"129,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 3.5 L,Trắng,Đỏ,5 chỗ,AWD - 4 bánh toàn thời gian,2 Tỷ 790 Triệu,2790000000,https://bonbanh.com/xe-lexus-rx-350-f-sport-2019-6298363
LandRover Range Rover Evoque Dynamic,2012,0 Km,Nhập khẩu,SUV,Số tự động,Xăng 2.0 L,Trắng,Nâu,5 chỗ,AWD - 4 bánh toàn thời gian,425 Triệu,425000000,https://bonbanh.com/xe-landrover-range_rover_evoque-dynamic-2012-6416270
BMW Series 320i,2016,"110,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng 2.0 L,Trắng,Kem,5 chỗ,RFD - Dẫn động cầu sau,560 Triệu,560000000,https://bonbanh.com/xe-bmw-3_series-320i-2016-6388239
Lexus RX,2017,"110,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 3.5 L,Đen,Nâu,5 chỗ,AWD - 4 bánh toàn thời gian,2 Tỷ 350 Triệu,2350000000,https://bonbanh.com/xe-lexus-rx-350-2017-6328471
Mini Cooper JCW Convertible,2020,"29,000 Km",Nhập khẩu,Convertible/Cabriolet,Số tự động,Xăng 2.0 L,Trắng,Đen,5 chỗ,FWD - Dẫn động cầu trước,1 Tỷ 580 Triệu,1580000000,https://bonbanh.com/xe-mini-cooper-jcw-convertible-2020-6416847
Lexus RX F Sport,2019,"129,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 3.5 L,Trắng,Đỏ,5 chỗ,AWD - 4 bánh toàn thời gian,2 Tỷ 790 Triệu,2790000000,https://bonbanh.com/xe-lexus-rx-350-f-sport-2019-6298363
Ford Territory Titanium,2024,"11,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng 1.5 L,Trắng,Đen,5 chỗ,FWD - Dẫn động cầu trước,785 Triệu,785000000,https://bonbanh.com/xe-ford-territory-titanium-1.5-at-2024-6473983
VinFast Lux A Plus,2021,"27,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 2.0 L,Xanh,Nâu,5 chỗ,RFD - Dẫn động cầu sau,599 Triệu,599000000,https://bonbanh.com/xe-vinfast-lux_a_2.0-plus-2.0-at-2021-6200197
Honda Civic,2010,"120,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.8 L,Xám,-,5 chỗ,FWD - Dẫn động cầu trước,245 Triệu,245000000,https://bonbanh.com/xe-honda-civic-1.8-at-2010-6485933
Mercedes Benz GLC 4Matic,2018,"80,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng 2.0 L,Trắng,Nâu,5 chỗ,AWD - 4 bánh toàn thời gian,950 Triệu,950000000,https://bonbanh.com/xe-mercedes_benz-glc-250-4matic-2018-6286947
Mercedes Benz G class G63 AMG,2022,"17,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 4.0 L,Trắng,Đỏ,5 chỗ,AWD - 4 bánh toàn thời gian,9 Tỷ 900 Triệu,9900000000,https://bonbanh.com/xe-mercedes_benz-g_class-g63-amg-2022-6428481
Mercedes Benz S class S400L,2015,"96,560 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 3.0 L,Trắng,Nâu,5 chỗ,RFD - Dẫn động cầu sau,1 Tỷ 230 Triệu,1230000000,https://bonbanh.com/xe-mercedes_benz-s_class-s400l-2015-6306222
LandRover Range Rover Autobiography LWB,2014,"130,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 3.0 L,Xanh,Đỏ,5 chỗ,AWD - 4 bánh toàn thời gian,2 Tỷ 390 Triệu,2390000000,https://bonbanh.com/xe-landrover-range_rover-autobiography-lwb-3.0-2014-6245644
Toyota Yaris .5G,2019,"60,000 Km",Nhập khẩu,Hatchback,Số tự động,Xăng 1.5 L,Cam,Kem,5 chỗ,FWD - Dẫn động cầu trước,445 Triệu,445000000,https://bonbanh.com/xe-toyota-yaris-1.5g-2019-6485932
Lexus LX,2016,"60,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 5.7 L,Trắng,Nâu,7 chỗ,AWD - 4 bánh toàn thời gian,4 Tỷ 850 Triệu,4850000000,https://bonbanh.com/xe-lexus-lx-570-2016-5216466
Lexus GX,2009,"220,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 4.6 L,Đen,Đỏ,7 chỗ,AWD - 4 bánh toàn thời gian,1 Tỷ 120 Triệu,1120000000,https://bonbanh.com/xe-lexus-gx-460-2009-6420859
Ford Ranger XLS,2023,"40,000 Km",Lắp ráp trong nước,Bán tải / Pickup,Số tự động,Dầu 2.0 L,Đen,Đen,5 chỗ,RFD - Dẫn động cầu sau,627 Triệu,627000000,https://bonbanh.com/xe-ford-ranger-xls-2.0l-4x2-at-2023-6474623
Mercedes Benz GLC 4Matic,2020,"56,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng 2.0 L,Đen,Đen,5 chỗ,AWD - 4 bánh toàn thời gian,1 Tỷ 195 Triệu,1195000000,https://bonbanh.com/xe-mercedes_benz-glc-200-4matic-2020-6226267
MG Luxury,2024,"10,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng 1.5 L,Vàng,Đen,5 chỗ,FWD - Dẫn động cầu trước,465 Triệu,465000000,https://bonbanh.com/xe-mg-5-luxury-1.5-at-2024-6373442
Peugeot GT Line,2022,"60,000 Km",Lắp ráp trong nước,Crossover,Số tự động,Xăng 1.2 L,Trắng,Đen,5 chỗ,FWD - Dẫn động cầu trước,645 Triệu,645000000,https://bonbanh.com/xe-peugeot-2008-gt-line-1.2-at-2022-6475776
Mercedes Benz E class E250,2017,"110,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 2.0 L,Xanh,Đen,5 chỗ,RFD - Dẫn động cầu sau,830 Triệu,830000000,https://bonbanh.com/xe-mercedes_benz-e_class-e250-2017-6434232
BMW Series 320i,2016,"110,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng 2.0 L,Trắng,Kem,5 chỗ,RFD - Dẫn động cầu sau,560 Triệu,560000000,https://bonbanh.com/xe-bmw-3_series-320i-2016-6388239
Lexus RX,2017,"110,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 3.5 L,Đen,Nâu,5 chỗ,AWD - 4 bánh toàn thời gian,2 Tỷ 350 Triệu,2350000000,https://bonbanh.com/xe-lexus-rx-350-2017-6328471
Mini Cooper JCW Convertible,2020,"29,000 Km",Nhập khẩu,Convertible/Cabriolet,Số tự động,Xăng 2.0 L,Trắng,Đen,5 chỗ,FWD - Dẫn động cầu trước,1 Tỷ 580 Triệu,1580000000,https://bonbanh.com/xe-mini-cooper-jcw-convertible-2020-6416847
Lexus RX F Sport,2019,"129,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 3.5 L,Trắng,Đỏ,5 chỗ,AWD - 4 bánh toàn thời gian,2 Tỷ 790 Triệu,2790000000,https://bonbanh.com/xe-lexus-rx-350-f-sport-2019-6298363
Ford Territory Titanium,2024,"11,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng 1.5 L,Trắng,Đen,5 chỗ,FWD - Dẫn động cầu trước,785 Triệu,785000000,https://bonbanh.com/xe-ford-territory-titanium-1.5-at-2024-6473983
VinFast Lux A Plus,2021,"27,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 2.0 L,Xanh,Nâu,5 chỗ,RFD - Dẫn động cầu sau,599 Triệu,599000000,https://bonbanh.com/xe-vinfast-lux_a_2.0-plus-2.0-at-2021-6200197
Honda Civic,2010,"120,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.8 L,Xám,-,5 chỗ,FWD - Dẫn động cầu trước,245 Triệu,245000000,https://bonbanh.com/xe-honda-civic-1.8-at-2010-6485933
Mercedes Benz GLC 4Matic,2018,"80,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng 2.0 L,Trắng,Nâu,5 chỗ,AWD - 4 bánh toàn thời gian,950 Triệu,950000000,https://bonbanh.com/xe-mercedes_benz-glc-250-4matic-2018-6286947
Mercedes Benz G class G63 AMG,2022,"17,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 4.0 L,Trắng,Đỏ,5 chỗ,AWD - 4 bánh toàn thời gian,9 Tỷ 900 Triệu,9900000000,https://bonbanh.com/xe-mercedes_benz-g_class-g63-amg-2022-6428481
Mercedes Benz S class S400L,2015,"96,560 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 3.0 L,Trắng,Nâu,5 chỗ,RFD - Dẫn động cầu sau,1 Tỷ 230 Triệu,1230000000,https://bonbanh.com/xe-mercedes_benz-s_class-s400l-2015-6306222
LandRover Range Rover Autobiography LWB,2014,"130,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 3.0 L,Xanh,Đỏ,5 chỗ,AWD - 4 bánh toàn thời gian,2 Tỷ 390 Triệu,2390000000,https://bonbanh.com/xe-landrover-range_rover-autobiography-lwb-3.0-2014-6245644
Toyota Yaris .5G,2019,"60,000 Km",Nhập khẩu,Hatchback,Số tự động,Xăng 1.5 L,Cam,Kem,5 chỗ,FWD - Dẫn động cầu trước,445 Triệu,445000000,https://bonbanh.com/xe-toyota-yaris-1.5g-2019-6485932
